id,message,recall
21,"My wife, children, and I have recently moved half way across the country. Since our arrival, just over one year ago, we have yet to feel settled. Everything is different. The people, the geography, the weather, the food...everything. We are not happy here and we often talk about our plans for moving home. The problem is, however, that we like to eat and pay our bills so in order to move home a job is required. We have four young children so finding work that pays enough to suuport us all is not an easy task. In our most recent conversation regarding this topic we both felt the urge to move back, yet it was somewhat stronger than usual because we were feeling particularly isolated at the time. I had just undergone surgery to remove a kidney stone just before that our youngest child, who is an infant, fell out of a chair he had climbed into and bumped his head on the tile floor. We panicked and took him to the ER. He was fine, however, that trip lightened our bank account by over $2K. I guess you can put a price on peace of mind. ANyway, we felt especially close when talking about moving home for these and other reasons. We have just had it here and we're ready to leave.","During the conversation I felt sad for having moved my family out here for a job. It's a great job and I'm making more money than I ever have, however, I do not fel that is worth th eemotional toll that we are paying."
22,Romantic relationships and times that you did not agree with your partner,neutral
23,We were discussing where we see our life in 10 years and how we want to spend our money now so that we can get there. We agreed saving now was important but also that we should buy things for the house that will increase our property value. We talked about how we want to get engaged in the next year. How we want to have a family in the next 3-8 years so it is important what we do now. We were really on the same page on all accounts.,I felt that we were on the completely same page and had the same goals and aspirations for the future. I felt that our love was very strong and everything would be okay and we would be able to achieve everything we desired as long as we had each other. 
24,"We were dicussing our wedding, about what each of us wanted to happen.",I was angry and disappointed at times.
25,"We were discussing politics, more specifically how worthy of a candidate Bernie Sanders would be for the 2016 presidential election.",I felt like my husband was making an uninformed decision about which he was being extremely obstinate.
26,"We were discussing for the first time about our thoughts on the future. For instance, when we thought we would get engaged, graduate, move in together, get married, etc. We both had different ideas and it was hard to understand each other. ",I felt confused. I also wondered if my boyfriend was as committed as he states he is. I felt like I was missing part of a puzzle. 
27,"We had just had our second baby, a little boy, and we went out to lunch. We were both so happy that we were married and raising a family together. It was a really nice moment that I will always remember.",I felt very connected and that I was where I wanted to be in my life. I felt very lucky to have found someone to be a partner with both as a parent and as a companion. I was very happy.
28,Our living situation and what to do about our lifestyle,"I would probably feel interested and invested, very interested in knowing about the future."
29,"We were sitting on the porch of our then-residence, which was owned by my partner's father. He had just told me I had three days to get my things and leave, and did so with rather graphic language. This stemmed from an incident the day prior that was between my partner and I, and no one else. We were both defending things that had happened as well as ourselves (mostly me, as I was blamed for the entire situation even though I was not fully responsible), and it was the one time that very much stands out as us being truly on the same page about everything, despite being shouted down and called names.","I actually felt very connected, like my partner was able to read my thoughts exactly. While our situation was not yet resolved, we were still able to work as a pair to communicate what we needed to communicate."
30,"We were discussing not hanging out so much and doing his work around the home as we agreed, he has negative influences around himself.  I tried to get him to do positive things with his life.","I was furious because I do my work and I try to,do my best and he does not put in enough effort in my opinion.  So I am very angry with him."
31,"We were discussing religion, and topics of those nature. She is very religious, and I am not, and it's probably the only rift that we have in our relationship. Whenever I think about this question at hand, as in ""What problems would you say you have between you and your wife"" - this is the only thing that comes to mind. Unfortunately, its a pretty big problem, but I try to not let it be. I am respectful of her beliefs, I just wish she were more open to accepting my lack of belief. I do not ever bring up the topic, nor do I try to 'convert' her. I wish she would extend the same courtesy to me in some situations. ","I felt just awful and helpless. I cannot just simply change my worldview because someone asks me to. I cant just unlearn topics that I am borderline expert in. I feel bad because I know she has these religious convictions, and she wants to share them with her partner.  Unfortunately, I do not share these, and therefore its a problem to her. I have no problem with our son being exposed to religion in any way, but I am not going to ""fake it"" for him. I want my son to think for himself like his father, and determine his beliefs on his own accord. "
32,We were talking about moving,I felt as if we were on the same page. Our goals matched with our future.
33,"We were on our first date, talking about our mothers and our tastes in music and tattoos. ","Amazing, like she understood exactly who I was and what I was about after only being with her for a few hours."
34,Our future after children have grown and moved out to start their own families.,I felt connected with my partner. I felt we were on the same page. I felt excited and happy for our future.
35,We were discussing childcare for our son.,"Happy, contented"
36,How things have changed since we were children and that you no longer are allowed by society to have your own opinions.,Angry
37,We were discussing the way we divide up household chores,really misunderstood 
38,"We were discussing when would be a good time to start our family.We both wanted to have children while we were young enough to physically really enjoy playing outdoors with our kids, go camping, take family hikes, etc. We were at a pretty stable financial point and each of us was secure in our careers  so we decided to take the plunge.","Excited, happy and a bit scared all at once. I also felt very close to my husband."
39,"We were walking on a beach taking about view on life and plans to undertake in the future. She started to bring out the point of raising a dog and a baby simultaneously so that the baby can grow to love another living thing, learn to live with it. it was something that i had always thought about and the fact that we shared the same view, made me so happy and connected with her.","I felt the feeling of knowing her for the longest time, and gelled immediately. "
40,we were discussing finances.,angry
41,"We were discussing how one person was giving off a bad vibe.  As in one person took the others behavior as not very pleasant, based on cues.  Such as facial expressions and the way person would respond or make statements.  Person A denied having any bad feelings and yet all of the ways they were acting said otherwise. Person B had a hard time understanding that really there was nothing at all that was bothering person A, and wanted to talk about what was wrong so it could be fixed.  Person B was feeling bad because although person A said they were fine, they were not pleasant to be around and maintained their stance that they were not unhappy.","I felt very emotionless and blank, because this conversation had happened before.  I felt done."
42,"We were recently discussing our son who is leaving home in a few weeks to become a Navy officer.  We were both talking about while we are a bit anti-military, we had a bit of a laugh at the rebellion of children no matter how the parents tend to be.  We are proud and sad and both are so parallel on this issue. ",Happy and sad.  Happy that this man and I brought up a smart boy however a boy who is such a square it is beyond belief. Sad that he's growing up and leaving us. 
43,We were discussing what to do with our income tax refunds.  We had put them together and were deciding what to do with them.  I wanted to pay some smaller bills and then save the rest for taking a trip later in the year.  He wanted to invest it for use in years to come.,"We both wanted to save the money.  During the conversation I could hear that part, but it seemed as to what we were saving the money for was being missed by each person.  I know we were both getting frustrated."
44,We were discussing his younger sister who is always begging for money all of the time. He wanted to complain about giving her money but does not want to stop giving it to her because she is his little sister. I feel that I would not let my brother take advantage of me like that and this is where we had an difference in opinion.,I just felt like I would not have handled the situation the way he handled it.
45,Taking out a loan so we could buy some cars in Texas to sell in Costa Rica.,Hopeful and elated. We have the resources and contacts to do it and it would be a good business opportunity.
46,We were discussing who we thought should run for president after Obama. We are both republicans  but didnt really agree.,I felt frustrated since she likes Trump and I think he is terrible for being president.
47,"We were discussing whether or not to move and where to move to. I was happy with where we lived at the time, but they were not. ",I felt distressed and alone
48,We were discussing whether or not my wife should go back to work.,I felt like a little bit of weight lifted off my shoulders. Excited for the future.
49,We were taking about getting a new vacuum,It was very distressing
50,wether to move back to Pennslyvania from Ohio,Very happy and connected
51,"We were discussing the amount of time we spent together and my husband's habits of going out at night to be with his friends. Specifically, we were discussing how I felt that he was going out a lot and spending many hours a week with his friends and then spending time with me just watching tv and doing other non-interactive activities. I remember that this argument came after a week in which he'd gone out 5 of the 7 nights, and when he goes out he stays out for 6 hours or so, sometimes more, until 2am. I go out too, we're both very social people and our social circles don't overlap at all, but when I go out (2-3 times a week) I go for an hour, maybe two, to things like dinner or happy hour or a movie, and am home by 8pm. To me it's not the same thing at all.","I felt that he was not understanding me. And I felt that the bigger picture was that he didn't value his time with me as much as he did with his friends. While I could accept just getting caught up in the moment and going out whenever  his (single) friends texted him, I couldn't figure out what was keeping him from understanding where I was coming from when I was pointing it out to him point blank."
52,where to go out to eat.,I felt my decision was the better option
53,The fact that his selfishness was handed down to him by his Mother.,Like he was thinking I was a terrible person to even think about what I was saying to him about his Mother and himself.
54,"We were discussing how we would approach food for our daughter. I am of an older thought that whatever is made for dinner/lunch is what you get to eat, you do not get a special thing made for you that meal if the child does not choose to eat it. /  / My wife is of the thought that they need food so if they say they do not like something they get a special meal just for them.",I was frustrated because I couldn't get her to see why making special meals is (to me) a bad thing that leads to future picky eaters and more work for me since I do all of the cooking.
55,We were talking about our son and how he was doing at college.  I wanted to check in with him and my husband did not feel it was necessary or needed.  I felt like we were 2 boats passing on the water at night. He could not seem to understand why we should check in with him and to me it was very clear and obvious,Like I was talking to myself!  Very frustrated!
56,we were discussing future plans to live on a sailboat,I felt excited about the future.
57,We were discussing the possibility of moving or staying where we are now and raising our kids.  I am very open to moving different places and my wife wants to stay put and stay near family - which seems stifling to me.,"Very annoyed and awkward, like this couldn't possibly be my life, for the rest of my life."
58,Our life goals.  How we just want to be successful.  How we want to have kids and raise them wisely.  We were on the same page about parenting.  We also talked about the type of place we want to live.  ,"I felt in tune with him, I felt also relieved that we shared the same views."
59,We were discussing money and how to budget for it. We were very much in sync. We see things the same way when it comes to finances. ,I felt calm. We always speak about this camly.
60,We were discussing  going to court to get custody of his daughter.,I felt like he wasn't listening to my perspective and a little upset he wasn't considering my feelings in the matter.
61,"We were discussing ourselves for the first time in person to each other.  We shared what we valued in life, what we wanted out of life, how we wanted to live life, what we wanted to explore and experience.  While we were talking and sharing one another with each other, we realized that we share a lot of the same values and want a lot of the same things out of life.  We also shared things about ourselves in the moment and we were so different from one another it intrigued both of us to learn even more about one another.","I felt excited, intrigued, curious, moved, happy, nervous, thrilled, joyful and just a slight bashful."
62,We were discussing marriage. We could just not compromise on a date for the wedding. I was thinking the first day of spring and she was thinking the first day of fall.,I felt like I wasn't being heard and my input was invalid.
63,"After we had our son,. I wanted to go back to work. My husband disagreed. He thinks that women should stay home with the children and raise them so that a stranger doesn't have to.,",Like what I wanted didn't matter. And it really hurt our relationship every  time I brought up that I wanted to work.
64,an incident where he wouldn't talk to me for awhile because he was mad before we were dating and he still thinks i was wrong even though i wasn't,frustrated - and like he isn't very trustworthy - in terms of his evaluation of truth
65,We were discussing our 16 year old son and his girlfriend being expectant parents.,"I was irate. Furious, I couldn't even imagine what was going to happen to the plans these 2 bright children had for their futures now."
66,I do not get along with my mother we have had a on and off relationship since I was a child. I had been wronged by my mother and didn't wish to speak with her anymore. My significant other did not agree with me not ever speaking to her again even though the wrong she had done to me.,I felt in the wrong or as If I was the bad guy.
67,We were discussing our future child.,"Joyful, calm, loved."
68,We were discussing an issue with our son and his need to have a full time job,I felt disconnected and lost. We just weren't on the same wavelength and I was also distracted by something else that I was trying to focus on at the time. 
69,"We were discussing support of Bernie Sanders for president. We both believe in equality and that people at the bottom need help. We also both support unions and the idea that government should be a regulator to make sure people get fairness, but should not be the gatekeepers for morality such as abortion and gay marriage.",I felt connected with my spouse and like we validated each others opinions and feelings. We felt close and like we belonged together. It created warm feelings of belonging.
70,We were talking about moving out of state,"I felt anxious, I just wanted to get the move over with."
71,"We were discussing a news story featuring a presidential candidate. We had each read the story separately, but when we talked  about it later that day, we both drew the same conclusions, not only about the persons actions, but what the likely result of it would be. ","We actually both thought it was very funny. I felt very giddy and close to her, like we were on the same page, and thought the same way. It was a good feeling. "
72,Money,Anxious
73,our children and their decisions,great like we agreed
74,"One of the dogs had just slipped off the leash while we were out walking, he had started to bolt.but stopped. We were discussing how to approach him without getting him to bolt again. She seemed to think he would just sit still and wait for us, I thought that we had to be careful and calm and quiet to avoid making him run again. She seemed to think this had happened a few times before, I felt like I would have remembered. It was late after midnight,close to the swamps, in a strange neighborhood that we didn't typically walk through (even during the day)","The whole night was a little weird, I felt  a little spacey and a bit lightheaded. It was also pretty warm that night, summer was coming on but it was even a little warm for the spring."
75,Having a baby.,It felt wonderful and extremely  scary at the same time.
76,We were talking about how glad we were we met each other.,We felt close
77,Having a child.,Very happy and looking forward to the event.
78,"We were discussing something that we talk about from time to time, his side of the family and all the issues that go with it!  This could mean anything from his very nosy and sometimes bossy mother who plays favorites way too much, to his dad who is a bit delusional about some people and things, as are both parents.  Furthermore, his many siblings and all the other drama that they bring into our world, mostly because of their lack of moral character when it comes to being a good Christian parent, something I agree on with him.  So, even though the conversations may be negative in nature, we do enjoy being able to discuss the ridiculousness of his family on a regular basis; and are generally on the same wavenlength about it.","I usually feel excited, and a bit energetic, because it is sadly engaging and entertaining discussing the madness of relatives."
79,Our lives together and how much we meant to each other.,Very warm-intense emotion.
80,"We were talking about marriage arrangements. when, where and who we where going to invite to the wedding.",very pleasant and happy
81,we were discussing something about work and travelling.,ok i guess i feel i have a life here why should i move
82,We were discussing our previous marriages as both of us had been married once before.,"Very close. We understood each other very well, even when we couldn't think of the right words to describe what we meant."
83,Finances.,Awkward.
84,"anything that had to do with our son when he was growing up never seemed to sync or merge with both of us. My hubby is a laid back sort of person who had rather let things slide and I have a temper so anytime we tried to come up with a way of dealing with things our son did wrong  we just could not seem to come together and agreed.It didn't matter what it was, but we usually either let it go and I was the bad person or nothing got done. Because when we wouldn't agree , hubby would rather walk away and leave the room than fuss about it.",I was always hurt by it.I felt like in each case he was taking our son's side no matter what or how much wrong he done. It would upset me more and disappoint me also.But through the years I never got used to him being that way. He just was one way and I am another ...
85,"I know it sounds silly, but the first thing that came to mind was a time when we were on ""date night"" at the movies.  We were standing in line trying to figure out which candy to get with our popcorn.  We both stared at the case for a few seconds, and then at the EXACT same time, we said, ""Peanut M&Ms?""  We both smiled at each other and I felt so much love for him at that moment.  I know it's such a small thing, but I think it's those small things that make a relationship wonderful.","I really felt a genuine wave of complete love and happiness.  We know each other so well that we both know what the other would enjoy (or what we both would compromise on).  I felt insanely connected to him, and he became ten times sexier to me."
86,"Several years ago my husband and I were discussing whether to sell our house and move.  We had been living in the same house for many years but wanted to buy something more modern (our house was 75 years old).  We were somewhat hesitant about selling, moving and buying another house for a number of reasons.",I was feeling a bit scared.  I was also concerned that we might not be making the right decision.
87,"My husband is a professional violinist and he was testing a new violin bow against one he currently owns. He asked me to listen (without knowing which bow he was playing) and give my feedback. I was reluctant to do so since I am not a musician, but I gave it a go and described the sound differences as best I could. It turned out he described the sound differences in the same way and had the same opinion.","Respected, equal."
88,religion,involved
89,Our children's progress at school.,Like we were on the same page and that I was being heard.
90,It was a few days after I told him I was going to break up with him. We were discussing the thing that he needed to change for our relationship to work.,I was felt so happy that for once he was taking me seriously and actually listening. I could feel that he was scared of losing me and really wanted us to work which made me so happy.
91,Nothing.,Cool.
92,We were discussing our religious preferences and beliefs,"I felt like it was a trivial difference and it wasn't really something I cared about, but he wanted to argue about it so I was frustrated"
93,"We were living together and decided to make our first big purchase, a new car. My boyfriend wanted a SUV, but I wanted a compact car. I felt the SUV was too much of a gas guzzler and the upkeep would be more expensive, and my boyfriend disagreed. ","I felt quite irritated that he could not agree with  my rational thinking. I felt he was going more for the status of owning a SUV, rather than being practical about it. I felt a bit deflated that he was not respecting my opinion at all. "
94,"Most of our couple friends aren't as trusting with each other as we are. For example, couple friend 1, Jane doesn't have male company while John is away, John has to call in a few times a day to check in with Jane, they are actually quite loving towards each other and neither complain about the other but we both find the arrangement to be a bit odd. My sig. other has plenty of female friends, coworkers, etc... and has lunch with them, maybe a beer after work. I have several male friends that I frequently visit, they visit me, we do things together. Neither of us is particularly jealous, suspicious, or have any qualms about one another having friends of the opposite sex. We trust each other completely. There are no required call-ins or check ups, only to say hello or I love you. We agree that out relationship is stronger because of the trust that we have in each other and that trusts subsequent freedoms.","I felt amazing. I know what it's like to have a sig. other that lacks trust, makes for a hard life. I felt secure, trusted, loved, trusting, in-tune, compatible. "
95,"We were talking about ""pizza rat.""  The NYC Subway Rat that was taking a huge slice of pizza down the stairs to feed his family.  It was so cute and we hoped the rat took his food home! _??ç",Very happy and connected.
96,We were talking about my wife changing jobs and possibly having to move to a different state.,Worried. We seemed to want two different things. It was very upsetting.
97,We were discussing my options after losing my job of 11 years.,I felt calm and reassured that this was actually a good thing because I had been miserable there for the last three years.
98,We were discussing how I was let down in the past and how I didn't want to be let down again in the future and that I didn't believe that I would be.  I stated that I had learned a lot from my mistakes and I didn't think that I was making the same ones over again.,Hopeful until he misunderstood what I was saying.  Then I felt very sad.
99,"We were discussing our requirements for a new house.  We've been talking recently about moving and we came up with almost the same list of ""needs"" for our new home.",Very good.  It was nice to be on the same page.
100,We were discussing some issues that had come up recently and how we view handling certain situations.,I felt very defensive and upset.
101,I can't even remember what we were discussing. We were having an argument. Into the argument at some point she was saying I did or said something. I was saying there is no way I said or did that. But then after a while I realized she was right. It's funny how I don't even remember what was being argued just what happened.,I felt very angry and upset. I was not happy. I remember also being very confused when I realized she was right.
102,"we were discussing the fact that i feel he has disconnected our intimacy.  i feel very alone at times & i also feel as though i am ""bothering"" him whenever i speak to him.  ",i felt that i was not being validated -- he disagreed with me & bluntly told me i was wrong to feel that way.
103,Something new I wanted to do with my business.,"Frustrated, annoyed, hurt."
104,We were discussing having another baby.,I felt very comfortable talking about our long term plans and hopes for the future. I remember being ecstatic that he felt the same way that I did about our family.
105,"We were discussing his parents wanting to possibly baptize our children, and I am firmly against that, so we just kind of fell out of sync there, as he didn't see it as a big deal and I did. So we stopped talking for a while.","Angry, confused, and like I was less important that his parent's wishes, because they are my children and I should get to decide."
106,"We were discussing whether to stay in our current area or move, possibly as far as another state, to have a better quality of life in an environment we enjoy more. ","Connected, in sync. I felt like we both agreed we would be happier elsewhere and we were on the same page as to what we wanted the geography and weather of our environment to be where we would settle down at least until our kids are out of the house. "
107,We were dicussing how to handle our daily chores around the house.,Like she just didn't understand where I was coming from.
108,"We were discussing moving back to home state and our plans after moving back. We both were in agree it was in our best interest because I had recently found out I was pregnant. Deciding to move back home after a while, settle down and buy a house. We both had the same thought process about it. ",I felt relieved and that I had chosen a great person to spend my life with
109,Our upcoming driving trip to the west coast,We were both quite excited and interested.
110,"Living costs, income, and moving costs.",Exasperated 
111,We were discussing finances and moving in together. ,I felt positive and hopeful
112,"My partner and I were at a bird show a few months ago. We enjoyed seeing all the birds and we chatted about them. Flash forward to several days later. My partner surprises me at the door. He has purchased an exotic bird for me as a pet! This is very coincidental, because the very night before, I was having a vivid dream about exotic birds, perhaps as a result of attending the bird show.","During the conversation at the bird show, I felt interested in the birds, but I did not pay great attention to our chat. Mostly I was focused on the birds. But I could tell my partner was listening to everything I was saying and taking mental notes."
113,We were discussing how my sister hates her female neighbor so much. We both believe it is because her husband is either over there flirting with the woman or doing more than flirting.,Disgusted with my brother in law.
114,"My boyfriend and I were discussing the idea that life ultimately has no meaning.  We were talking about Thomas Ligotti, who believes that life is meaningless and full of suffering, and does not think that people should reproduce because it would pass suffering on to others.  My boyfriend and I were talking about how life is not full of suffering, but is made up of both bad and good experiences.  We agreed that life may ultimately have no meaning, but it falls to the individual to give it meaning and find a purpose.","I felt very connected to my boyfriend, like he and I were on the same level of deep understanding at a fundamental and very human level."
115,"We were discussing the future together were we were financially independent and free. We would be living comfortable traveling as much as we would want to. This required hard work at first but in the end, it would all be worth it.",I felt empowered and motivated. I was happy and felt as if it was all achievable which I know it is.
116,We were discussing parenting strategies for when our son got older.,Fine. We agreed about a lot of things.
117,"We always seem to be in sync when watching a crime related tv show, we are almost always able to be in sync with the outcome or who done it.",I feel like I have found my perfect match and that I would love to be that in sync in other times of our life.
118,"We were talking about opening our own car body shop.  We were so into the planning of it that we seemed to be thinking the same thing at the same time.   Every time one of us was thinking of something we could do to accomplish opening it,  The other would verbally say it.  It was like we were reading each others minds.  I love when we do things like this.",I felt happy and very loved.  He really  seem to care about what I had to offer.
119,"We were discussing the possibility of his taking a new job in New York if he was offered it. He was really excited about the idea and even started looking up places to live etc. At first I wasn't too upset by the idea of moving again, but as I started to really consider the implications and all that we would have to give up all over again, I got more and more upset. He made it seem like if he got offered the job, he would take it no matter what, and I felt powerless.  /  / In the end he didn't get offered the job, anyway, so it was okay.","I felt very small and like I had no say in what happens in our life. I felt afraid, and gradually grew panicked."
120,"Our desire to travel the world and see new places, explore possibilities of unfamiliar territory, and adventure into the unknown","Excited, adventurous, passionate, connected, fun-loving"
121,"WE TALKED ABOUT US AND OUR RELATIONSHIP. IT IS SOMETHING THAT JUST HAPPENED. IT IS SPECIAL TO US BECAUSE , IT IS LIKE NO OTHER RELATIONSHIP EITHER OF US HAVE EVER HAD. IT IS BASED ON TRUST LOVE AND HONESTY. IT IS SOMETHING THAT I CHERISH. ",I FELT LIKE HE AND I WERE ON THE SAME PAGE. WE WERE IN A PLACE WHERE BOTH OF US FEEL THE SAME ABOUT OUR RELATIONSHIP AND WHAT IT MEANS TO US. I FELT HAPPY.
122,We were discussing the income I bring in on a side job. I believe the money should go to towards family needs and wants. He believes I should keep the money to myself to spoil my  needs. ,I mainly felt loved but extremely misunderstood at the same time. It was somewhat frustrating. 
123,Discussion buying a new car.,I felt good at the beginning of the conversion anticipating that my partner will be excited too but he was not so my mood changed and I felt like I was talking to myself.  
124,We where talking about doing dishes.,I felt put-upon and annoyed that I had to pick up his slack.
125,We were discussing a project that we had started a few years back and now we decided to continue with it and when we get together and talk ideas I always feel so much closer to him,"I felt relaxed, comfortable, and engaged in the conversation. Happy about our plans"
126,"We were discussing what it would be like raising a child together, and starting a family.  We both want the best life possible for our daughter, and will sacrifice anything to make sure she has a wonderful childhood.","Happy.  Content.  I felt like I had accomplished something wonderful, even though I hadn't really done anything.  I felt safe and confident, knowing that my wife was on my side, and always would be."
127,We were discussing our views on abortion. He said he would consider it if he was in a situation where he had to choose. I was against it. I told him that it would not be an option for me.,I felt we were not connecting on the same level and that we did not have the same morals. I felt sad.
128,CHILDREN,Angry
129,What we were looking for in a house since we were getting ready to move,"Frustrated, out of control, disconnected"
130,"We were discussing wanting to adopt a dog. We both knew what we wanted, the breed, the size and the lifestyle. It all fit perfect.. ",That everything was going smoothly. I was expecting some debate on the breed.
131,We were discussing the death of one of our cats.,I was very sad for losing our cat. I was also soothed because my husband shared and understood my sadness.
132,"We were discussing about our daughter. I was asking my husband about my daughter. He was telling me what she was doing, what her habits were. This conversation seemed so real and our ideas seemed to merge.",I was feeling very calm and serene.
133,My girlfriend and I were discussing where either of us should move. I tried convincing here to move to my home state at first because even though it's a small state there are many more job opportunities there. She did not want to move because of her family in her home state. Even though for the majority of them did not care for her or were abusive in many ways. I ended up moving where she lived and it was one of the worst decision I ever made.,"I felt annoyed, forced, option less."
134,a time when you felt connected to your partner,"awake, like i was there again"
135,a change in location for career.,I wished we could come to the same conclusion.
136,We were discussing the most recent GOP presidential debate. ,"I felt so much more in love with him than I ever had before. Every day I'm with him I feel this way, but this was especially so. We both agreed on every subject that was brought up, and I reveled in the fact that I could express my disgust with him and he would echo it right back. "
137,we were discussing about marriage. He wanted more time to decide if he wanted to marry me but wanted to live with me. I disagreed and felt like he just wanted to wait for other options yet meet me for his own convenience. I felt resentful. ,"I felt angry, resentful and not respected nor loved."
138,We were discussing my mom coming up and how it made each of us feel.,I felt very connected with my husband and very intimate
139,We were talking about spending money and paying bills. ,"I felt frustrated, annoyed, and angry. "
140,We were talking about our future. We were discussing each of our point of views. ,I felt very connected and warm. 
141,"About our near future, about moving to other state.",I felt suspicious
142,We were discussing whether or not we would want to have another child sometime in the future.,"I felt frustrated and a little bit sad.  I felt like he had very good and valid points, but I wished we could agree."
143,How we would be able t afford to take a vacation to North Carolina,"very much in sync with my wife, we were having the same ideas and thoughts on this issue"
144,My wife and I both recently had a spiritual awakening of sorts. We were discussing this recently and talking about how this would effect our marriage and our lifestyle. We kept coming up with the same things as if we were of one mind. ,I felt in sync and greatly at peace. 
145,Finances and our household budget.,Frustrated and overwhelmed.
146,"I can't think of any one thing specifically. It literally happens with almost everything we talk and think about. It has been that way for the last 13 years. My wife and I dated for a week and got married. We both have a wicked habit of finishing each other's sentences, knowing when one of us needs the other (even if we aren't in the same room or even house). I was fortunate enough to find my best friend and marry her.","I feel connected to my wife in ways that go beyond explanation. Most of the time I feel like she is the only person who truly ""gets"" me. I feel like I am one person in two different bodies when we talk."
147,We were discussing our lives together and if there would be a future for us.,"I felt very happy, because I love my partner, but I also felt a little scared because having a life with someone is a difficult thing to do."
148,"We were discussing whether or not to purchase a car. We have been saving very diligently over the past year and have accumulated a good nest egg, for us anyway. We share a car, and it's kind of been on the fritz lately. We decided that we do need another car, and my husband found one we were interested in. When we went to the dealership, the price was way too high for me. We completely disagreed about the purchase, and argued quite a bit. Eventually, we were able to get the dealer to drop the price quite a bit, and we did end up buying the car.",I felt very frustrated. I was so nervous that we would end up buying the car and draining our savings. I was afraid that we wouldn't be able to compromise.
149,MY FIANCE'S MOTHER HAS BEEN LYING ABOUT HER HEALTH TO GET ATTENTION. I CAUGHT HER IN A LIE AND WANTED TO CALL HER OUT BUT MY FIANCE WANTED ME TO LEAVE IT ALONE.,LIKE EVERYONE ELSE WANTS TO CONTINUE TO LIVE A LIE WHEN WE ALL KNOW THE TRUTH.
150,She wanted to open a line of credit with one of my clients.,upset as one does not do that.
151,Having a family.,Totally connected.
152,We were discussing politics,"I felt frustrated, misunderstood and confused"
153,"We were talking about his job application process, and why he didn't want to apply to stuff I thought he should.",Worried
154,I found he had a secret account in a social site,"betrayed and jealous, also ignored "
155,The possibility of saving up to purchase a home.,At first a little in disbelief but then more frustrated and upset. 
156,A new job opportunity. i hated the job i went to the first day of work. my partner pretty much felt like she was belittling me because of the job. I didn;t want to do it.,"I felt tiny, belittled, small. I felt guilty sad and unhappy"
157,"We were discussing our possessions and who we would leave them to if one of us should die or become a ""vegetable"".",I felt very sad and like I wasn't as important to him as he is to me.
