Id,message,recall
63,"He is adventurous and has many outdoor experiences. He reads a lot and corrects grammar. He is confident, a good speaker, and makes plans quickly with the many people he knows. He says what he thinks.","He does a lot of adventurous things outdoors, like skiing without avalanche training. He reads a lot and has good grammar. He corrects other people. He is a good speaker. He makes plans but doesn't always follow through. He knows lots of people. He says what he thinks even if it might be considered a bit rude."
64,This person is very outspoken and honest. He likes to seek adventure. He is very sociable and outgoing. He sticks to his decisions and views once he establishes them.,He was very outspoken and honest. He liked adventure and thrill-seeking activities. He was outgoing and social. He would make plans even if he didn't intend on keeping them. Once he made a decision he stuck to it.
65,"He is very outspoken, persistent, adventurous, and loves to talk.",Sam was outspoken and liked to go on adventures. He was very talkative and would correct others grammar. He made up his mind to do something and nothing could stop him.
66,"He speaks His mind, He like to do hiking and is not worried about dangers, he can speak to a lot of different people easily, when He makes up his mind nothing cant stop Him","His name is Michael, he is ready to express his opinions, he likes risky but fun adventures in the wild, he is a go getter, he can make friends with ease, once he stablish a goal he will work till he gets it"
67,"He likes to speak his mind. He likes adventure and is always seeking new things to do, Whether mountain climbing, kayaking or skiing, he always looks for something exciting to do. He likes to read and he correct peoples grammar. He loves to make friends and enjoys speaking to lots of people. Once he makes his mind up to do something, nothing holds him back.","He loves to adventure and is always looking for a new thrill. Whether mountain climbing, kayaking or down hill skiing, he loves to take risks and do it. He loves people and enjoys having conversations with many people. He loves to read and often correct grammar. when he sets his mind to doing something, he will always follow through."
68,"X seems to be a very hyperactive person. X is very outgoing and outspoken also. X may even have some narcissistic characteristics. X seems to be very risky with their life and well being, often doing things that put them in danger of injury or even death.",X seems to be a hyperactive person. X seems to be a risk taker even to the point of injury or possible death. X seems to be very outgoing and outspoken. X may even have some narcissistic characteristics.
69,"He is very adventurous and fun and is up for anything. He has done a lot of cool activities like skydiving, mountain biking, kayaking, skiing. / / He has a lot of friends because he is so likeable and friendly. He has a great vocabulary and is an extremely good speaker. Once his mind is made up, there is no changing his mind!","John is an adventure-seeker and a risktaker. He went extreme skiing without avalanche training, he went downhill mountain biking at night, he went skydiving, kayaking. / / John has a lot of acquaintances and will make plans that he doesn't always plan to follow through on. / / He has a good vocabulary, and tends to correct other people's grammar, and can be highly critical. / / Once his mind is made up, he won't change it, even to his own detriment."
70,"He is very direct on his statements and does not hold back his opinion. He is an adventurer. He has done some climbing, skydiving, kayak and etc. He is the kind of person who even risks death and gets injured doing it. He is extremely extroverted, easily making friends and acquaintances, but usually it's always something superficial. He is very knowledgeable and kinda of a grammar nazi. He is also a very stubborn person and doesn't matter how hard it is, he will try his best to see it through.","He is adventurer, speaks his mind, got hurt and almost died many times in his adventures. / Very knowledgeable and grammar nazi. Make friends and acquaintances easily, but almost always superficial."
71,"This person is an adventurist. This person likes to go skydiving, and mountain biking. He has be injured many times. He has many acquaintances. He reads a lot and tends to correct people's grammar mistakes. He also has a lot of knowledge and can carry on a conversation about just about anything.",This person likes adventure. He likes to skydive and mountain bike at night. He has been injured may time. He has many acquaintances and is very shallow with relationships. He reads a lot and corrects people's grammatical mistakes. He has a lot of knowledge and can carry on a conversation about just about anything.
72,"When Michael makes plans he follows through, no matter how long it takes. He loves adventure, for instance, mountain climbing with no avalanche training. Michael seems a little reckless. He says what's on his mind, sometimes when he shouldn't and he is willing to make plans with one of his many friends without necessarily following through. He reads a lot and is a good speaker and seems easy to meet and talk to, but is a little critical of others.","His name is MIchael. He like adventure-climbing, sky diving, white water rafting, etc. He is quick to say what's on his mind and can be critical. If he makes plans with someone he might not follow through with them. He reads and speaks well. He also does what he says."
